Sıcaklık,pH,Hg,Pb,Cd,Yağ,K.O.İ,Sülfür,TP/CR,Nitrat,Azot,Fenol,Fosfor,Y.A.M,Siyanür,Organik-Karbon,Çözünmüş-Oksijen,Florür,Tarımsal-Pestisit,Mutasyon (%)
7.976874,6.688847,0.000630,0.039912,0.007004,2.473153,60.591168,14.757218,1.318383,30.488211,3.618144,0.452442,0.074215,1.450206,0.094457,4.075237,8.699834,1.459782,0.013515,26.405497
5.896175,7.551064,0.002560,0.054674,0.000172,5.928122,127.896841,11.018817,1.943482,47.327460,5.585158,0.345964,0.030448,1.685463,0.057151,2.518408,5.988160,0.226057,0.021877,43.097751
5.395990,8.710455,0.004977,0.028371,0.006200,1.913263,175.389944,4.825134,1.607831,33.243722,8.554725,0.237410,0.009944,3.487517,0.006788,6.028967,6.647615,2.884642,0.026863,56.744740
23.250209,8.140453,0.004854,0.005870,0.007432,4.281071,91.722952,10.161487,1.218505,47.068939,2.945369,0.125917,0.092581,2.020611,0.086506,2.271943,12.589049,2.976915,0.037311,22.713330
6.769995,8.052685,0.003606,0.068967,0.001211,6.222560,66.111717,6.532709,0.884552,31.956934,2.549243,0.250781,0.028886,3.198838,0.045600,19.815397,6.529629,4.917641,0.040788,40.664621
25.054889,8.779914,0.008101,0.017577,0.001950,2.100098,19.859103,14.628752,1.772418,32.315610,9.204275,0.160018,0.045650,0.397634,0.091079,10.992448,6.257131,1.545600,0.009992,22.670695
23.736706,8.344322,0.001809,0.024661,0.001310,8.990461,115.419842,11.680644,0.205499,27.972159,7.616338,0.252256,0.024341,4.077195,0.045566,10.867938,8.277104,4.954194,0.012147,44.826189
5.409105,8.401765,0.002116,0.059550,0.008738,2.439427,155.740370,10.307693,1.609646,13.303616,7.981684,0.346116,0.094806,3.551172,0.013682,19.513716,4.340351,2.668452,0.037530,67.994894
22.960496,7.551126,0.001460,0.005060,0.004538,4.426894,37.467856,8.971523,0.802297,47.319766,2.181317,0.221972,0.016107,4.183546,0.057467,8.777849,13.194351,3.812341,0.013144,13.426018
26.715724,7.512590,0.004064,0.005178,0.005384,5.915909,140.104725,12.193057,0.244156,17.920743,5.650119,0.165184,0.095031,3.803133,0.014692,19.250653,1.062077,2.128918,0.017020,78.851069
19.785016,7.259988,0.003713,0.097787,0.006028,4.720384,42.948983,9.777231,1.237278,10.869399,0.319850,0.323507,0.009364,0.891901,0.091602,11.187993,11.126539,4.507283,0.019022,30.954434
6.513436,8.540188,0.000830,0.024950,0.001869,4.434541,160.144113,13.092457,0.551256,5.789836,2.338942,0.103327,0.040170,0.886585,0.025870,7.277032,11.667288,4.332993,0.004722,41.114356
16.583454,6.606785,0.009321,0.013179,0.008460,8.975802,10.123053,11.616090,0.219096,27.557933,9.019826,0.282317,0.014699,3.533526,0.041274,0.978185,3.302572,0.241829,0.025994,20.816449
17.213626,7.872276,0.008036,0.034216,0.009556,9.514090,10.722950,6.002991,0.685417,38.906548,5.834331,0.411444,0.037033,4.223865,0.001138,0.721749,6.480673,1.716844,0.044726,14.120123
27.806463,6.784028,0.009196,0.074342,0.005033,6.061125,131.056609,18.380877,1.303004,37.530688,3.788356,0.313482,0.055854,4.728556,0.037608,16.141233,3.285452,1.685593,0.025333,69.184089
21.733691,7.645923,0.009418,0.018592,0.009763,2.378351,12.473457,13.158321,0.681834,47.270620,6.739106,0.268361,0.036644,3.981542,0.061483,13.306861,2.137216,3.528041,0.040533,38.157971
24.468059,7.858714,0.000945,0.008786,0.005886,2.435647,38.861493,10.941004,0.163141,2.758800,4.921576,0.272845,0.028856,4.498398,0.088573,10.048326,6.466957,0.394672,0.038152,25.982375
9.446089,7.200977,0.006798,0.078164,0.000162,2.563636,36.284374,15.028393,1.060655,37.842728,5.021872,0.290778,0.021100,0.262986,0.056419,13.540255,2.702981,0.801810,0.034976,43.384847
5.873097,7.721057,0.003436,0.061950,0.004756,8.013081,137.752688,8.863278,0.422626,49.525499,0.366711,0.380337,0.068771,3.489631,0.014449,19.115925,2.403265,2.530534,0.030531,74.290896
22.947337,6.728770,0.006690,0.032600,0.004723,3.657668,168.261224,15.462783,1.987932,35.872081,3.406686,0.003075,0.092719,0.985781,0.078609,9.627544,6.026798,1.297716,0.022123,62.029941
10.848545,6.924268,0.004772,0.077002,0.004946,9.918996,129.010077,17.062705,0.235740,42.029334,6.433619,0.338006,0.095327,1.973062,0.034245,6.167016,1.868247,4.487657,0.046431,68.390683
13.470632,8.517036,0.004326,0.032891,0.004470,4.260083,137.681753,14.305620,0.234767,45.539113,8.945871,0.230745,0.067570,4.232143,0.035742,18.403005,10.448602,0.802887,0.027973,51.766865
5.339736,8.508401,0.000632,0.044291,0.009420,4.312537,141.924181,14.934649,1.961435,3.536342,4.716031,0.454967,0.086065,4.090687,0.016945,4.451250,11.654036,0.107514,0.012994,43.578633
23.469867,8.155390,0.001015,0.019247,0.007213,0.525028,2.388340,6.183267,0.692815,5.373052,5.325124,0.112064,0.003407,2.467100,0.008456,19.200867,10.252689,3.571450,0.043435,15.759753
29.690384,6.880160,0.000690,0.049209,0.001885,7.539334,195.927467,9.231515,1.418105,34.761984,8.257950,0.245004,0.099437,0.908415,0.046916,1.615614,1.891962,0.572755,0.028026,74.017208
9.120546,8.826704,0.001824,0.075583,0.000827,3.504771,183.245105,6.984138,1.436702,0.937672,1.766896,0.314604,0.059033,4.723890,0.060769,6.567883,12.341809,4.448649,0.006365,55.483651
26.242396,8.913749,0.001114,0.087557,0.001303,2.800871,158.792940,6.997614,0.562467,21.211002,4.647311,0.261079,0.095565,2.729871,0.059369,1.054902,9.244209,3.622069,0.003785,48.237007
15.348339,6.948429,0.000757,0.036833,0.000272,3.484419,90.369724,5.227476,1.536326,27.965234,7.507221,0.200439,0.032097,3.509022,0.022766,2.393421,8.828075,3.721809,0.022037,28.863963
29.927294,8.377683,0.007761,0.084832,0.005357,8.657536,79.250126,1.465685,0.570169,8.506686,8.710844,0.237664,0.006519,3.656725,0.023059,3.339898,2.713727,2.980125,0.004771,51.631897
21.656647,6.570329,0.003544,0.071424,0.005125,6.168165,124.125440,7.677477,1.817034,0.788225,6.411609,0.075078,0.062497,4.474521,0.088376,17.280460,0.318051,2.005123,0.039962,80.892289
8.811199,7.469054,0.005332,0.004161,0.003245,3.367409,160.462101,19.279556,1.250225,14.144607,5.613854,0.356287,0.021135,1.974661,0.038038,13.324151,11.785095,3.647573,0.036814,50.662683
20.489454,6.726222,0.005744,0.023985,0.005968,2.651767,81.548763,16.623479,0.810925,26.812214,1.934993,0.470326,0.027548,1.439865,0.007654,13.969848,0.696021,4.022006,0.039602,67.849732
25.158721,6.756424,0.002203,0.027638,0.002883,7.947302,147.088981,15.720226,1.541248,8.409095,3.942599,0.262134,0.096066,1.549316,0.025309,2.273186,9.219194,2.574749,0.016509,40.290547
14.995408,7.820603,0.001029,0.062767,0.004989,1.786275,23.546126,4.594250,1.714582,31.072530,3.714534,0.057461,0.092507,0.355752,0.040736,1.230854,7.932389,2.214436,0.044669,14.415921
18.354514,8.340887,0.004671,0.096195,0.009323,2.358918,116.570985,15.804253,0.497633,13.179113,3.534588,0.219480,0.035731,0.147705,0.053331,1.577432,9.146985,1.942856,0.021424,39.995837
12.388249,7.959167,0.006231,0.076074,0.002146,3.712006,4.546769,12.817048,0.221929,16.215346,3.011492,0.221706,0.042930,1.872500,0.075203,12.284187,2.018795,0.535242,0.030569,39.891190
10.481427,8.850177,0.009715,0.096038,0.004764,8.363565,194.371069,0.466325,0.669837,48.553182,5.338102,0.224268,0.025070,0.513109,0.029924,13.258525,1.641844,2.936719,0.005413,89.597737
17.932979,8.248385,0.007335,0.081132,0.004920,1.369401,197.937655,9.373042,1.472811,35.987575,2.618706,0.099156,0.010833,0.537157,0.093586,0.112146,3.416480,4.683536,0.001267,64.489628
25.257548,8.916030,0.009954,0.038791,0.001870,5.041474,128.479913,7.455082,0.506892,26.352077,7.366197,0.015304,0.029107,4.008949,0.016772,4.682476,4.395507,1.298670,0.016207,52.785695
8.941675,7.126838,0.002197,0.079746,0.004204,2.539676,85.058161,13.706453,1.609699,7.988508,5.915669,0.187851,0.072981,2.975891,0.042781,3.877825,12.238826,1.751837,0.032694,26.088894
5.426070,7.291978,0.008171,0.031752,0.006981,4.519109,72.851452,6.532581,1.294390,12.290218,9.096965,0.342997,0.017473,3.921889,0.030662,19.777461,0.953687,3.168447,0.021841,65.606393
7.736826,8.814323,0.001450,0.072200,0.009966,5.977806,103.322758,15.832226,1.314897,18.373519,7.136698,0.356949,0.089352,3.663846,0.054748,8.561939,2.474772,2.576081,0.044093,60.673445
10.596180,8.355170,0.001435,0.038674,0.006327,4.861346,166.773566,5.926732,1.186636,23.053269,3.938858,0.101562,0.072430,2.560395,0.000454,13.771629,13.446713,4.121694,0.047845,50.639815
6.721916,6.537303,0.000768,0.031987,0.002316,1.751296,8.370665,5.333225,1.474592,7.492527,7.976536,0.366397,0.042378,2.388361,0.066970,18.874366,4.835708,0.149811,0.011874,28.297756
7.772712,8.068385,0.008785,0.079354,0.006142,9.563894,195.446197,1.414200,1.554702,19.634646,2.252084,0.490012,0.024313,4.825148,0.055775,7.163764,10.312434,3.774694,0.023733,67.557428
11.926536,7.998755,0.009871,0.096953,0.008842,2.583590,64.231412,18.624582,1.512142,49.648975,2.691220,0.280307,0.024546,0.259136,0.024910,5.183488,3.896168,2.476247,0.046768,42.340958
11.915392,8.504857,0.008807,0.039990,0.007496,8.641902,2.681760,19.296566,1.498451,5.820453,9.154123,0.086940,0.026653,1.345246,0.071258,18.794761,5.094012,2.512154,0.032041,28.971201
10.530653,6.697865,0.003484,0.070848,0.001077,7.554680,38.918680,9.396736,0.133704,18.089011,5.321514,0.068277,0.058188,2.160740,0.014868,18.114263,11.690667,2.969736,0.007773,28.110227
18.613030,8.217303,0.000214,0.030455,0.007555,8.631133,123.436884,4.204057,0.917293,5.493076,8.608482,0.024408,0.073034,1.557776,0.053293,14.358111,7.387487,0.794541,0.049791,49.356318
26.005186,7.377101,0.007346,0.090602,0.000147,4.788617,173.655484,15.066143,0.733558,42.693736,3.899520,0.294633,0.076196,4.342838,0.038024,0.482178,0.623363,4.665319,0.049829,77.789621
18.846735,8.786685,0.008051,0.050820,0.005346,3.997341,144.520151,9.939297,1.898059,39.949022,1.108810,0.109314,0.036749,1.827331,0.088467,15.169659,11.992051,1.144864,0.002369,53.202903
15.637950,7.356943,0.005522,0.009077,0.002014,0.506654,84.790215,15.299324,0.543250,33.129251,6.654355,0.299141,0.028864,3.541687,0.059200,1.673936,8.770823,1.989371,0.046496,23.155054
24.407460,8.339904,0.005217,0.039228,0.006098,9.291547,69.386810,16.192707,0.881088,26.411675,2.545312,0.230410,0.054582,4.837013,0.025818,14.251266,10.521442,4.579238,0.046613,33.528383
11.407648,8.608371,0.007040,0.009164,0.000660,6.001450,40.844199,3.511547,1.040001,20.298296,0.492219,0.336013,0.085891,3.696661,0.008412,12.239265,3.111175,4.709187,0.023381,38.016069
22.034009,6.871776,0.006355,0.079257,0.004658,4.443715,192.246208,12.203098,1.270628,0.657142,2.336300,0.007572,0.034576,1.932876,0.091671,3.560091,10.412355,0.270294,0.046790,55.824419
7.140731,8.729003,0.004562,0.044758,0.003772,9.019409,167.784070,8.985551,1.854574,27.067696,4.383176,0.446134,0.004800,1.014377,0.036101,12.879824,13.791097,2.361717,0.030389,57.689580
12.120426,6.563055,0.002169,0.016349,0.004972,0.240656,119.991208,6.573967,0.870219,41.920591,2.027600,0.089144,0.077040,3.471721,0.015685,2.126892,10.500104,1.674238,0.007739,27.537294
9.299449,7.187769,0.006918,0.001244,0.008702,7.749058,4.463524,9.909885,1.331541,8.771608,8.286172,0.397944,0.007602,1.260184,0.004128,17.843011,13.573941,1.168883,0.045839,13.662308
17.165976,7.387464,0.007939,0.064367,0.001799,5.980681,138.110461,15.047099,0.451213,19.625679,5.160130,0.233075,0.009973,4.080069,0.003913,17.593861,5.292009,2.585785,0.024886,61.278022
21.369252,8.411641,0.008988,0.016293,0.005904,7.867193,103.049382,7.220203,1.816016,17.276286,4.830433,0.443168,0.084374,4.902550,0.010233,9.724700,12.336098,4.163438,0.038429,37.665560
28.079031,7.663192,0.008158,0.078307,0.004179,4.087627,133.154599,12.284645,1.123161,4.314351,8.061159,0.410119,0.020474,2.138722,0.017629,5.842857,7.641479,0.104364,0.006827,54.723618
12.377503,6.871207,0.008071,0.020403,0.002123,4.641264,73.764519,15.040283,0.194343,5.140027,3.749154,0.278759,0.082469,4.888051,0.085499,3.413483,1.518969,4.220558,0.017764,47.562009
10.871082,7.671127,0.008062,0.016306,0.008852,1.849173,115.777831,0.622535,1.045906,6.581533,5.930370,0.039100,0.085597,4.443789,0.043306,9.101695,0.741833,2.803916,0.014163,66.559001
13.240789,7.502037,0.006433,0.041260,0.003764,1.125751,103.049143,12.986287,0.642594,41.303232,1.678941,0.274961,0.065071,1.674524,0.048479,8.452526,2.409903,0.393876,0.023004,58.560330
24.386258,8.100882,0.000833,0.093994,0.008454,9.966743,106.101420,12.407402,1.762765,8.151383,4.872940,0.462056,0.061453,1.580799,0.021489,18.535844,4.025540,3.039232,0.032164,67.788643
18.236588,6.640058,0.007679,0.081343,0.005310,2.638141,94.786970,2.632701,1.690408,48.396998,2.977714,0.009632,0.099861,0.856309,0.070372,7.044697,7.794428,3.601131,0.028509,40.930166
13.893836,6.995077,0.005371,0.011370,0.002718,3.910637,7.227833,2.468275,1.892516,18.770272,9.460291,0.071566,0.015810,2.042348,0.096958,11.960081,2.612870,0.103218,0.028415,28.607743
22.339783,7.741443,0.009547,0.098740,0.007825,7.188841,176.569788,3.863862,0.988522,22.003747,1.854601,0.474965,0.008205,3.709275,0.077250,11.525800,9.706835,0.832536,0.005857,67.760341
13.349850,7.196624,0.001397,0.049130,0.005220,1.216218,128.561119,13.063943,1.617782,28.425135,0.758848,0.333226,0.034671,3.334315,0.037994,2.972188,5.220099,0.251332,0.021296,46.373132
10.342734,7.534361,0.001919,0.085607,0.009239,9.849303,162.681134,1.223604,1.625024,47.653892,6.611443,0.064517,0.022320,4.297916,0.032312,1.216204,2.409922,3.284813,0.002561,63.336170
18.964268,6.806633,0.000690,0.094287,0.005973,0.261392,128.872015,4.445328,1.676036,0.230632,5.768537,0.137661,0.018951,1.578308,0.090282,8.290987,9.815394,4.050939,0.038850,46.253013
5.126038,8.939475,0.001357,0.011037,0.008926,7.070539,119.247193,10.200729,1.960942,27.444981,0.976528,0.287953,0.075381,2.826002,0.035936,7.311361,6.313537,1.168925,0.031302,38.652869
29.122866,8.956070,0.003422,0.039776,0.001718,0.680033,175.313424,6.404356,0.805834,20.390801,3.067937,0.187001,0.098567,0.532953,0.026836,13.191527,3.555822,1.207249,0.035927,73.957291
17.515502,6.713142,0.005451,0.017913,0.007473,3.341594,69.553837,11.440800,0.351845,21.959610,7.432216,0.494360,0.079345,0.377514,0.026964,4.427892,10.277204,1.273435,0.009426,27.582089
13.534824,8.975226,0.006623,0.096529,0.009565,2.095715,24.098457,1.932333,1.228506,19.536110,8.957565,0.376329,0.037710,3.513986,0.003127,11.309907,9.686056,2.503958,0.028292,28.209995
17.724517,6.713677,0.007883,0.016773,0.008170,4.454360,176.456073,19.862736,0.136313,7.622560,3.620170,0.324493,0.090148,3.559348,0.012593,1.059802,5.286641,3.687032,0.015986,54.086969
28.475736,8.942896,0.007465,0.049694,0.005861,2.970462,114.695472,1.986864,1.724930,43.973561,2.766123,0.092931,0.060637,2.339000,0.036863,17.225330,12.749184,4.119140,0.006533,44.815702
15.983354,7.640266,0.003231,0.008513,0.000762,6.400317,184.997332,2.526475,1.657088,16.155288,2.949118,0.249460,0.021757,0.238582,0.066441,16.078315,0.840448,4.132087,0.003021,88.481781
28.099830,7.093154,0.006306,0.082228,0.003602,4.920790,69.505882,10.809386,1.768835,6.701253,8.027220,0.352599,0.018629,1.885311,0.059209,2.864743,1.207101,1.306622,0.047697,54.092018
21.132663,7.173401,0.007136,0.007535,0.000898,1.250766,79.233841,16.983388,0.232173,15.142932,9.848700,0.325995,0.008552,4.947403,0.032519,7.552720,3.168699,3.818976,0.014004,44.214141
29.727949,7.128545,0.001633,0.073057,0.008344,4.555791,52.358699,7.601844,0.619884,10.922256,1.166800,0.090877,0.029443,2.685493,0.064610,16.046742,3.502776,2.589500,0.014612,49.099268
24.625992,7.173874,0.008863,0.089343,0.007597,1.369496,13.217283,2.667831,0.775591,3.223791,4.053509,0.173530,0.010379,4.845160,0.043410,7.411806,1.743615,1.561362,0.014424,41.221929
24.745828,7.778358,0.001270,0.024507,0.002515,5.152037,32.523906,17.355763,0.422768,28.961387,9.695026,0.070297,0.023487,2.666828,0.020399,10.640008,6.329782,4.383487,0.006577,24.432557
10.716640,8.272880,0.002492,0.001139,0.008657,8.916051,174.841068,17.998957,0.932316,18.571275,5.117490,0.336963,0.051621,0.948264,0.065897,15.340295,6.995417,1.167819,0.015544,62.058083
8.590653,6.803230,0.008761,0.061665,0.008217,5.426970,53.749462,15.748397,1.270402,36.779270,9.212450,0.103953,0.055388,3.113856,0.054026,18.080585,6.071087,3.123586,0.001347,38.836459
21.919986,6.738354,0.009926,0.040604,0.005224,7.747128,13.945178,15.626655,1.639051,1.003847,7.505513,0.173732,0.080650,2.658535,0.036254,12.196992,9.656680,0.113788,0.005310,18.727528
5.907526,7.029679,0.008818,0.001772,0.005146,8.102299,193.078478,3.528593,1.233104,12.954193,5.546266,0.462432,0.085088,4.691717,0.097823,7.414437,4.574734,1.572961,0.010532,68.181392
15.731840,6.735717,0.002009,0.035106,0.003905,6.801911,126.884591,4.217968,1.627223,3.948531,9.084485,0.185377,0.001211,3.133554,0.015139,19.257767,12.210755,1.761038,0.005994,48.186538
14.398976,6.699766,0.004608,0.084125,0.000220,3.399927,24.503331,17.379929,0.505776,12.972830,1.790525,0.120822,0.057306,2.526868,0.072656,0.249674,5.327323,3.440358,0.006065,17.361926
19.018659,7.141831,0.009202,0.036096,0.007930,2.757551,53.731290,16.857322,0.625336,27.979385,2.969955,0.163231,0.032581,4.057678,0.095183,10.832418,4.809015,3.136786,0.028140,39.237619
16.004009,8.292604,0.002835,0.001025,0.001368,2.527719,87.089980,0.460883,1.769816,20.067691,3.477908,0.281239,0.037409,3.344689,0.054924,1.052434,4.576448,0.680551,0.033653,32.349653
26.535687,8.663919,0.008463,0.023520,0.004875,2.174846,19.078198,8.058176,1.354978,39.760131,4.248591,0.263743,0.063665,4.733949,0.053436,10.120272,5.566040,4.659319,0.025989,27.550354
23.066339,6.693490,0.003722,0.083554,0.009496,1.750320,153.459772,7.082091,1.541537,15.087881,5.156506,0.499427,0.084191,2.409540,0.044249,16.825336,0.040796,0.446162,0.044039,100.000000
20.773261,8.325262,0.008790,0.046498,0.005110,4.993718,157.927455,9.087388,1.691998,43.295018,3.718640,0.173738,0.088609,1.994910,0.042070,15.292294,3.149106,4.773646,0.043462,73.732134
11.648637,7.790952,0.005562,0.055571,0.006696,4.410814,61.326574,8.448040,0.483390,27.526583,6.878607,0.275228,0.053884,1.622206,0.056862,4.188625,8.004583,3.238831,0.038989,25.080457
27.926316,7.629523,0.006549,0.059170,0.007462,7.759199,123.735024,10.708574,1.389014,39.802179,4.015170,0.152978,0.058532,1.013727,0.029104,5.893942,0.143321,3.502322,0.042584,74.635224
27.099661,6.635964,0.009135,0.042213,0.008843,6.147702,115.595469,17.546026,0.371703,21.195286,4.204203,0.320712,0.065795,0.571056,0.093495,12.034403,8.273794,1.701804,0.032944,48.706014
15.286880,8.557590,0.009553,0.061964,0.007016,5.394993,53.353640,15.539832,1.840093,4.740286,2.831274,0.497141,0.047986,1.678379,0.027935,15.344437,3.927454,2.265745,0.022385,48.992628
14.158075,7.557996,0.004788,0.015087,0.002245,1.017172,139.857670,1.137267,0.876164,9.140151,5.794942,0.307804,0.024557,2.649728,0.045507,17.019893,7.099700,0.688902,0.024832,54.458567
12.523750,7.107514,0.001073,0.087928,0.002646,4.382831,64.117654,11.428906,0.972251,37.857061,5.411307,0.017209,0.002100,0.221562,0.081880,13.361327,7.944934,0.990896,0.000157,34.208566
12.218375,6.506453,0.003968,0.026464,0.002868,5.494367,42.830054,18.785430,0.729131,4.970075,7.505022,0.460742,0.024293,1.641325,0.005740,8.818558,3.370830,0.929702,0.030937,39.899616
26.387154,8.206331,0.008190,0.081112,0.009474,8.889066,188.473389,0.649768,0.970561,30.464928,7.194352,0.042707,0.007657,4.029698,0.098816,4.323386,4.844793,3.737536,0.032103,69.119049
8.278295,7.802659,0.005617,0.001080,0.009083,0.503966,57.765727,15.545347,1.322547,23.706237,9.353721,0.368510,0.036120,0.016340,0.043870,8.520658,6.413070,0.797798,0.021301,26.507151
7.665314,8.914129,0.001977,0.010352,0.003092,3.294998,136.480425,18.334942,1.820968,10.595096,3.778148,0.479421,0.087757,3.175214,0.005487,15.291254,9.856584,0.259088,0.011109,51.897024
8.705415,8.671716,0.008545,0.056272,0.006462,1.132305,198.341066,18.103947,1.654469,15.575711,7.059197,0.421226,0.098227,3.624289,0.085549,0.204043,4.573495,3.637700,0.004603,65.026386
16.937794,7.107170,0.000894,0.073231,0.002219,7.160377,72.931422,12.174902,0.504500,24.355224,9.056908,0.145617,0.017039,0.836482,0.067216,4.204734,2.584568,1.056626,0.028688,47.947783
7.790206,8.300160,0.002220,0.069042,0.004862,9.157701,76.978652,10.412799,1.616700,20.764077,7.402384,0.204500,0.059370,2.850885,0.029752,16.408103,8.707792,0.618484,0.002724,38.636125
14.361524,7.020166,0.009431,0.032930,0.009678,6.295097,165.049679,0.339474,1.128436,43.916711,9.408475,0.421131,0.087342,0.839159,0.028501,7.609200,4.582112,0.304424,0.040361,65.969700
8.643078,6.595101,0.005823,0.075253,0.002347,7.530866,25.701870,9.453788,1.198133,39.094492,7.742210,0.327516,0.094243,0.040283,0.003833,18.718290,12.198949,1.233676,0.020413,26.174421
28.393913,7.709186,0.001316,0.024172,0.008675,2.776995,2.893851,18.920530,0.537398,20.875406,8.854434,0.133645,0.009148,3.083055,0.024254,11.766833,12.165567,4.646006,0.045459,12.283136
14.452148,8.965270,0.000420,0.065667,0.006305,6.936221,192.113517,7.841413,0.306822,42.351560,1.823381,0.236781,0.039662,4.524780,0.057730,5.670667,7.381310,1.805210,0.032286,63.769256
27.132350,7.351432,0.008551,0.057895,0.005064,6.030513,157.715141,9.677740,1.262131,30.141955,8.895202,0.015119,0.092867,3.283548,0.000752,1.892236,7.732796,1.178878,0.023661,49.052912
20.462410,8.958429,0.002646,0.093838,0.001344,0.186762,94.994876,12.634019,1.453999,24.947361,8.777312,0.053750,0.095728,0.369940,0.056524,0.618984,7.130896,4.596903,0.045261,34.138003
22.172294,7.163094,0.006230,0.042488,0.007473,3.492152,51.270681,9.419597,1.350368,30.439843,8.337685,0.302596,0.054373,2.000396,0.037185,8.087955,9.624795,1.634084,0.003618,26.134605
24.066442,7.780138,0.002639,0.096682,0.005400,4.651287,187.145340,4.939684,1.787522,16.741056,8.421737,0.433510,0.011490,0.819175,0.046409,19.013014,5.569231,4.104468,0.018441,83.018966
29.530056,7.932005,0.000398,0.083157,0.000964,8.002362,95.925016,8.271528,0.404338,44.740999,8.852981,0.135434,0.065638,4.277625,0.053562,17.039524,10.159378,4.163029,0.027139,45.147866
20.808155,6.664697,0.002041,0.091802,0.007141,8.674895,137.408551,9.005600,0.724295,30.734911,5.857937,0.117058,0.018459,2.862244,0.057182,5.252861,7.075447,3.719499,0.010102,49.445579
13.217883,7.122086,0.003963,0.009169,0.005428,9.618497,196.829407,1.851843,1.546953,16.431478,0.269724,0.151952,0.018568,1.186517,0.089266,14.932119,1.655071,0.564874,0.029112,81.641081
13.534722,6.625385,0.000719,0.058878,0.001614,6.800722,116.122069,10.514635,1.979353,31.733566,5.097048,0.411699,0.017553,0.992252,0.034150,18.537392,6.281572,1.079909,0.029941,58.456576
18.284058,8.003647,0.003843,0.044623,0.009794,2.728934,123.015951,19.443054,0.666701,36.146258,9.462794,0.470171,0.007940,0.522108,0.022063,8.190819,10.535731,4.463584,0.010275,45.770600
16.219675,8.552807,0.009436,0.094140,0.009174,3.836193,90.893024,14.304954,1.351515,34.928104,0.522800,0.407397,0.022289,0.980020,0.094879,15.814480,8.397148,0.842244,0.037645,50.617757
18.034868,8.901319,0.009966,0.066442,0.000362,6.258374,60.005923,8.837433,0.855840,12.821730,0.230127,0.399270,0.019565,1.891072,0.029055,1.404312,12.717584,4.247794,0.016425,22.765725
6.777471,7.640592,0.008236,0.049935,0.002746,5.041294,106.410130,19.023301,1.374695,21.853326,5.561678,0.357127,0.057993,0.240310,0.007127,0.720632,0.338172,3.578141,0.000633,60.254980
